policy,type,n,mean_recovery,completion_rate,mean_burden,mean_reward
Random,decline,54,0.9247722763598971,38.88888888888889,0.14225346969045424,-17.83741640242477
Random,growth,101,0.9341620270026519,27.722772277227726,0.128183123873303,-27.253542724278386
Random,other,56,0.9427558363025454,39.285714285714285,0.14195165161574025,-18.130170167160177
Random,seasonal,33,0.9014377989983995,24.242424242424242,0.13431138987206964,-18.002960096836922
Random,stable,1018,0.9264677410862554,26.522593320235753,0.13649415467934364,-27.072878406425282
Random,volatile,40,0.9445757355819442,32.5,0.14019952784026463,-13.064407673171683
Fixed-0.05,decline,54,0.33333333827700795,0.0,0.049791557118481294,-22.82523680952466
Fixed-0.05,growth,101,0.333333343029653,0.0,0.03867007772460768,-26.5871466527908
Fixed-0.05,other,56,0.33333333775043406,0.0,0.04918712852098236,-22.356644951667757
Fixed-0.05,seasonal,33,0.333333333331075,0.0,0.04996999214767616,-22.132475503162073
Fixed-0.05,stable,1018,0.3333333377821975,0.0,0.04629617512588097,-29.3251121053512
Fixed-0.05,volatile,40,0.3333333395037995,0.0,0.04860348699487208,-18.211181913451636
Fixed-0.10,decline,54,0.6666666765540159,0.0,0.09968246369369103,-20.676362079629893
Fixed-0.10,growth,101,0.666666686059306,0.0,0.08348315130390911,-28.954370505033815
Fixed-0.10,other,56,0.6666666755008681,0.0,0.09867163337211517,-20.299804294952775
Fixed-0.10,seasonal,33,0.66666666666215,0.0,0.0993585990046657,-20.062661008980427
Fixed-0.10,stable,1018,0.666666675564395,0.0,0.09538225793986016,-28.586988885098606
Fixed-0.10,volatile,40,0.666666679007599,0.0,0.09843136116237439,-15.680569093339477
Fixed-0.15,decline,54,1.0000000396662925,79.62962962962963,0.14962519667470603,-18.339540719085125
Fixed-0.15,growth,101,1.0000000539242282,87.12871287128714,0.13348315577425748,-27.530773531270206
Fixed-0.15,other,56,1.0000000380865708,76.78571428571429,0.14860929463245467,-18.037766975511158
Fixed-0.15,seasonal,33,1.0000000248284933,72.72727272727273,0.14935860347501406,-17.67705513937989
Fixed-0.15,stable,1018,1.0000000381818612,79.46954813359528,0.14537961538090613,-27.069759944330677
Fixed-0.15,volatile,40,1.0000000433466671,77.5,0.14840767117622244,-12.944584010805077
Fixed-0.20,decline,54,1.0437472221322621,100.0,0.19954152504477365,-11.72756730844926
Fixed-0.20,growth,101,1.0461065774565974,100.0,0.1847186221787971,-23.870826776976394
Fixed-0.20,other,56,1.0531571270972628,100.0,0.19841573360728024,-14.177585902454727
Fixed-0.20,seasonal,33,1.041204663066911,100.0,0.19825009159823295,-12.18963818382356
Fixed-0.20,stable,1018,1.0331671193316208,100.0,0.19522662703662802,-20.945438256585312
Fixed-0.20,volatile,40,1.0878666682867213,100.0,0.1984262573637588,-9.215662592578905
RevProportional-0.10,decline,54,0.6476644211992043,0.0,0.09625952238316318,-20.780563525574028
RevProportional-0.10,growth,101,0.65278016361482,0.0,0.07821451240331956,-28.675610148101423
RevProportional-0.10,other,56,0.6275950088406164,0.0,0.09302838530214198,-20.515508461112244
RevProportional-0.10,seasonal,33,0.6552714291709305,0.0,0.09717964612116564,-20.079322434920876
RevProportional-0.10,stable,1018,0.6364739272385275,0.09823182711198428,0.0910295431307467,-28.657847616782195
RevProportional-0.10,volatile,40,0.6025658623739293,0.0,0.08839740168752551,-16.180216464110288
CVaR,decline,54,0.22476686548855163,0.0,0.03345280263817426,-23.584855604663524
CVaR,growth,101,0.39177179047998895,0.0,0.04224891736169433,-30.161779572932545
CVaR,other,56,0.24724716632930233,0.0,0.03584598731751411,-23.104739662663427
CVaR,seasonal,33,0.23537291663825957,0.0,0.03466453537956481,-22.960305077926144
CVaR,stable,1018,0.2745808587403621,0.0,0.03657175981233006,-30.36710143211791
CVaR,volatile,40,0.24897595767325592,0.0,0.03581092543129194,-18.930951143903922
