policy,type,n,completion_rate,mean_burden,mean_violation_amount_total,mean_violation_ratio_max
Fixed-0.15,decline,54,79.62962962962963,0.14962519667470603,590.1657277807574,0.7126450785387365
Fixed-0.15,growth,101,87.12871287128714,0.13348315577425748,3867.4035960720694,1.9916872110528459
Fixed-0.15,other,56,76.78571428571429,0.14860929463245467,904.702853219532,0.8774745067606121
Fixed-0.15,seasonal,33,72.72727272727273,0.14935860347501406,649.5021620673792,0.7455627841451993
Fixed-0.15,stable,1018,79.46954813359528,0.14537961538090613,2320.4602941293415,1.2683577050946275
Fixed-0.15,volatile,40,77.5,0.14840767117622244,476.1865274260904,0.7714123058834027
CVaR,decline,54,0.0,0.03345280263817426,142.36392021343613,0.15874293075613663
CVaR,growth,101,0.0,0.04224891736169433,1382.3907230554203,0.5505488401662868
CVaR,other,56,0.0,0.03584598731751411,267.2318547835656,0.2151204089155636
CVaR,seasonal,33,0.0,0.03466453537956481,171.88787477193455,0.16835363660995606
CVaR,stable,1018,0.0,0.03657175981233006,710.5368197314568,0.3264033835619562
CVaR,volatile,40,0.0,0.03581092543129194,138.060025996444,0.19523692999129444
PPO_base,decline,54,100.0,0.24903077883978642,638.0258599254621,1.170508743529142
PPO_base,growth,101,73.26732673267327,0.18445758513008417,2172.640468998379,1.7815348346493116
PPO_base,other,56,100.0,0.24839494712502871,1026.637615698,1.4689614528259987
PPO_base,seasonal,33,100.0,0.24651818124217414,704.4016055433218,1.3755401575551787
PPO_base,stable,1018,93.02554027504911,0.2317625950556419,1998.1282401207513,1.8064279139473425
PPO_base,volatile,40,97.5,0.24500016355254592,480.18330148288607,1.2110663419282712
PPO_eta_strong,decline,54,100.0,0.24936204049562724,638.2112556853118,1.170508743529142
PPO_eta_strong,growth,101,73.26732673267327,0.18401954009341756,2188.0663316033347,1.803703505737424
PPO_eta_strong,other,56,96.42857142857143,0.2419296139359734,902.7021067054736,1.31573986059545
PPO_eta_strong,seasonal,33,100.0,0.24739351167898907,706.4670161768637,1.3755401575551787
PPO_eta_strong,stable,1018,93.71316306483301,0.2328497274030779,2033.32624505751,1.8142829747669673
PPO_eta_strong,volatile,40,97.5,0.24362516354835498,476.2855823242774,1.183539334797757
PPO_forecast,decline,54,100.0,0.24936204049562724,638.2112556853118,1.170508743529142
PPO_forecast,growth,101,78.21782178217822,0.19328329865376206,2448.753281879527,2.023670268757465
PPO_forecast,other,56,98.21428571428571,0.24567793468363286,976.3864526376937,1.4195101890558437
PPO_forecast,seasonal,33,100.0,0.24739351167898907,706.4670161768637,1.3755401575551787
PPO_forecast,stable,1018,93.61493123772102,0.23316051725697468,2039.7213460288533,1.8229329271402726
PPO_forecast,volatile,40,100.0,0.2485603474322921,543.0939225801825,1.298011287260461
